session_id,product_id,position,clicked,price_pln,category,quality_score,user_preferred_category
0,prod_0_1,1,1,40.05,Elektronika,0.363,Elektronika
0,prod_0_2,2,0,249.63,Elektronika,0.547,Elektronika
0,prod_0_3,3,0,679.19,Elektronika,0.696,Elektronika
0,prod_0_4,4,0,493.38,Elektronika,0.1,Elektronika
0,prod_0_5,5,0,2982.39,Odziez,0.384,Elektronika
0,prod_0_6,6,0,46.86,Ksiazki,0.187,Elektronika
0,prod_0_7,7,0,544.01,Elektronika,0.655,Elektronika
0,prod_0_8,8,0,169.13,Elektronika,0.473,Elektronika
0,prod_0_9,9,0,500.71,Elektronika,0.557,Elektronika
0,prod_0_10,10,0,625.31,Elektronika,0.916,Elektronika
0,prod_0_11,11,0,155.78,Elektronika,0.725,Elektronika
1,prod_1_1,1,0,194.38,Ksiazki,0.567,Ksiazki
1,prod_1_2,2,0,557.46,Ksiazki,0.521,Ksiazki
1,prod_1_3,3,0,116.72,Ksiazki,0.565,Ksiazki
1,prod_1_4,4,0,226.84,Ksiazki,0.668,Ksiazki
1,prod_1_5,5,0,284.8,Ksiazki,0.8,Ksiazki
1,prod_1_6,6,1,146.99,Ksiazki,0.59,Ksiazki
1,prod_1_7,7,0,374.74,Ksiazki,0.828,Ksiazki
1,prod_1_8,8,0,80.82,Ksiazki,0.332,Ksiazki
2,prod_2_1,1,0,189.25,Elektronika,0.558,Ksiazki
2,prod_2_2,2,0,1311.85,Elektronika,0.696,Ksiazki
2,prod_2_3,3,0,582.33,Ksiazki,0.194,Ksiazki
2,prod_2_4,4,0,228.29,Ksiazki,0.611,Ksiazki
2,prod_2_5,5,0,429.71,Ksiazki,0.28,Ksiazki
2,prod_2_6,6,1,200.11,Ksiazki,0.21,Ksiazki
2,prod_2_7,7,0,142.99,Elektronika,0.864,Ksiazki
2,prod_2_8,8,0,118.15,Odziez,0.404,Ksiazki
2,prod_2_9,9,0,848.78,Ksiazki,0.451,Ksiazki
2,prod_2_10,10,0,382.03,Ksiazki,0.813,Ksiazki
2,prod_2_11,11,0,133.19,Ksiazki,0.215,Ksiazki
2,prod_2_12,12,0,359.04,Ksiazki,0.907,Ksiazki
3,prod_3_1,1,1,40.79,Odziez,0.753,Odziez
3,prod_3_2,2,0,179.68,Odziez,0.74,Odziez
3,prod_3_3,3,1,143.51,Odziez,0.787,Odziez
3,prod_3_4,4,0,656.63,Odziez,0.438,Odziez
3,prod_3_5,5,0,483.16,Odziez,0.526,Odziez
3,prod_3_6,6,0,1246.46,Odziez,0.617,Odziez
3,prod_3_7,7,0,130.39,Ksiazki,0.754,Odziez
3,prod_3_8,8,0,775.67,Odziez,0.663,Odziez
